timestamp,city,lat,lon,pm25,pm10,no2,o3,co,aqi_est
2025-08-01T00:00:00,CityA,-1.2921,36.8219,15.68,21.63,21.12,35.05,0.271,13.6
2025-08-01T01:00:00,CityA,-1.2921,36.8219,19.9,23.19,16.3,19.01,0.348,15.4
2025-08-01T02:00:00,CityA,-1.2921,36.8219,27.82,28.25,18.29,30.29,0.265,20.4
2025-08-01T03:00:00,CityA,-1.2921,36.8219,14.07,17.19,22.39,48.45,0.32,12.1
2025-08-01T04:00:00,CityA,-1.2921,36.8219,26.18,29.63,17.6,41.67,0.315,19.8
2025-08-01T05:00:00,CityA,-1.2921,36.8219,22.89,24.82,19.35,35.06,0.3,17.5
2025-08-01T06:00:00,CityA,-1.2921,36.8219,25.09,31.26,14.94,43.46,0.439,19.2
2025-08-01T07:00:00,CityA,-1.2921,36.8219,32.03,37.69,33.53,32.68,0.221,25.7
2025-08-01T08:00:00,CityA,-1.2921,36.8219,29.43,32.82,24.61,32.53,0.243,22.6
2025-08-01T09:00:00,CityA,-1.2921,36.8219,25.44,32.19,33.55,40.13,0.338,21.4
2025-08-01T10:00:00,CityA,-1.2921,36.8219,22.7,25.83,13.97,39.5,0.291,17.1
2025-08-01T11:00:00,CityA,-1.2921,36.8219,20.48,29.02,16.41,36.24,0.315,16.7
2025-08-01T12:00:00,CityA,-1.2921,36.8219,16.05,20.82,23.89,33.98,0.375,13.9
2025-08-01T13:00:00,CityA,-1.2921,36.8219,21.63,36.75,16.32,25.94,0.297,18.6
2025-08-01T14:00:00,CityA,-1.2921,36.8219,11.64,19.77,23.61,26.1,0.273,11.5
2025-08-01T15:00:00,CityA,-1.2921,36.8219,10.23,12.86,22.97,23.28,0.279,9.6
2025-08-01T16:00:00,CityA,-1.2921,36.8219,19.41,27.89,21.03,24.64,0.369,16.5
2025-08-01T17:00:00,CityA,-1.2921,36.8219,17.28,21.36,22.69,20.99,0.282,14.5
2025-08-01T18:00:00,CityA,-1.2921,36.8219,22.6,26.73,9.38,23.73,0.28,16.7
2025-08-01T19:00:00,CityA,-1.2921,36.8219,14.96,21.32,19.34,23.35,0.199,13.0
2025-08-01T20:00:00,CityA,-1.2921,36.8219,12.19,21.4,19.93,14.7,0.246,11.7
2025-08-01T21:00:00,CityA,-1.2921,36.8219,12.74,18.04,18.27,21.05,0.3,11.2
2025-08-01T22:00:00,CityA,-1.2921,36.8219,21.12,25.35,17.7,23.89,0.317,16.6
2025-08-01T23:00:00,CityA,-1.2921,36.8219,19.91,27.21,15.4,24.05,0.339,16.0
2025-08-02T00:00:00,CityA,-1.2921,36.8219,17.23,26.38,25.62,36.96,0.256,15.6
2025-08-02T01:00:00,CityA,-1.2921,36.8219,22.91,26.43,23.69,40.6,0.344,18.2
2025-08-02T02:00:00,CityA,-1.2921,36.8219,23.78,27.69,22.6,27.89,0.327,18.8
