city,date,pm25_mean,pm10_mean,no2_mean,o3_mean,co_mean,aqi_mean,temp_mean,humidity_mean,wind_mean,pressure_mean,traffic_index_mean,vehicle_count_sum,congestion_mean,hospital_admissions,respiratory_admissions,population_est,district,population,area_km2,next_day_respiratory_admissions,risk_category
CityA,2025-08-01,20.06125,25.5425,20.107916666666668,29.990416666666665,0.30091666666666667,16.304166666666667,18.895833333333332,62.25416666666666,2.045,1008.5416666666666,51.39166666666667,4948,51.39166666666667,11,6,491351,District_A,520000,150,8.0,Medium
CityA,2025-08-02,22.857916666666668,27.84583333333333,22.04625,31.797083333333333,0.31595833333333334,18.283333333333335,18.65458333333333,59.362500000000004,2.1462499999999998,1008.4499999999999,51.916666666666664,5384,51.916666666666664,13,8,544451,District_A,520000,150,7.0,Medium
CityA,2025-08-03,22.036666666666665,27.68166666666667,21.262916666666666,29.75583333333333,0.31925,17.754166666666666,18.909583333333334,58.89166666666667,2.0708333333333333,1009.9583333333334,52.012499999999996,5344,52.012499999999996,11,7,496449,District_A,520000,150,5.0,Medium
CityA,2025-08-04,22.117500000000003,25.472083333333334,22.25708333333333,30.97375,0.28783333333333333,17.533333333333335,19.084166666666665,61.53333333333333,1.8670833333333334,1010.0625,49.01666666666666,4978,49.01666666666666,10,5,500346,District_A,520000,150,8.0,Low
CityA,2025-08-05,21.503333333333334,25.660833333333333,23.339166666666667,29.19875,0.29758333333333337,17.3625,18.565,57.979166666666664,2.04625,1009.7125,49.84583333333333,5599,49.84583333333333,15,8,497638,District_A,520000,150,6.0,Medium
CityA,2025-08-06,21.575416666666666,27.522499999999997,19.013333333333332,29.290833333333335,0.3012916666666667,17.275000000000002,18.780416666666667,62.82083333333333,2.04625,1008.9166666666666,52.24166666666667,5109,52.24166666666667,13,6,510778,District_A,520000,150,9.0,Medium
CityA,2025-08-07,19.467916666666667,25.35375,20.403333333333332,28.515833333333333,0.30312500000000003,15.991666666666667,19.204583333333332,61.24583333333334,1.83625,1009.8791666666666,52.15416666666667,5157,52.15416666666667,14,9,508305,District_A,520000,150,7.0,Medium
CityA,2025-08-08,20.743750000000002,26.114583333333332,20.940833333333334,31.260833333333334,0.28375,16.816666666666666,18.519583333333333,60.97083333333333,1.91125,1010.6666666666666,50.96666666666667,5033,50.96666666666667,13,7,521397,District_A,520000,150,8.0,Medium
CityA,2025-08-09,21.599166666666665,26.530833333333334,22.075416666666666,31.363333333333333,0.2937916666666667,17.4375,19.186666666666667,60.4,2.0858333333333334,1011.3625000000001,49.44583333333333,5150,49.44583333333333,13,8,500102,District_A,520000,150,8.0,Medium
CityA,2025-08-10,21.46375,26.854166666666668,21.097916666666666,30.400000000000002,0.300625,17.316666666666666,18.67875,60.3375,2.0383333333333336,1009.3958333333334,49.708333333333336,4840,49.708333333333336,15,8,527163,District_A,520000,150,6.0,Medium
