feature,importance
respiratory_admissions,0.7633483517744414
risk_category_Medium,0.22563904693016412
co_roll7,0.0015385786809076793
hospital_admissions,0.001280874617000071
next_day_respiratory_admissions,0.0010155840402431315
co,0.0006995400254292053
o3_lag7,0.0006600646626739366
pm10_lag1,0.0006351566515473961
no2,0.00036252370046525303
no2_lag7,0.0003620810774059928
vehicle_count_sum,0.0002930780642615808
co_lag7,0.0002826483291975731
no2_roll7,0.0002712887750095392
pm10_lag7,0.00025336810900824304
no2_roll3,0.0002460708763700884
pm10_roll7,0.00022262502941329163
pm10_mean,0.00021492537313432404
congestion_mean,0.0001962428901121151
o3_lag1,0.00016752534485624184
pm25_roll3,0.00016380016380015814
traffic_index_mean,0.00016128086016458504
pm10,0.00015874182406114468
pm10_roll3,0.00015434083601285849
co_lag1,0.00014930384121654888
humidity_mean,0.0001473125686265151
o3_roll3,0.00013904087544255867
no2_lag3,0.00013904087544255045
wind_mean,0.0001378254211332315
pm10_lag3,0.00013056960992329026
co_lag3,0.0001267025657269559
pm25_roll7,0.0001266013564431039
o3_roll7,0.00011057207661290326
co_roll3,0.00010804321728691448
pm25_lag7,0.00010446343779677132
o3_lag3,0.00010210593490746954
pm25_lag1,8.808177468464494e-05
o3_mean,6.25978090766869e-05
pm25_mean,0.0
no2_lag1,0.0
o3,0.0
pm25,0.0
area_km2,0.0
population,0.0
population_est,0.0
pressure_mean,0.0
temp_mean,0.0
aqi_mean,0.0
co_mean,0.0
no2_mean,0.0
pm25_lag3,0.0
