feature,importance
respiratory_admissions,1.0
pm25_mean,0.0
no2_roll3,0.0
pm25_roll7,0.0
pm10_lag1,0.0
pm10_lag3,0.0
pm10_lag7,0.0
pm10_roll3,0.0
pm10_roll7,0.0
no2_lag1,0.0
no2_lag3,0.0
no2_lag7,0.0
no2_roll7,0.0
pm25_lag7,0.0
o3_lag1,0.0
o3_lag3,0.0
o3_lag7,0.0
o3_roll3,0.0
o3_roll7,0.0
co_lag1,0.0
co_lag3,0.0
co_lag7,0.0
co_roll3,0.0
co_roll7,0.0
pm25_roll3,0.0
pm25_lag3,0.0
pm10_mean,0.0
pm25_lag1,0.0
no2_mean,0.0
o3_mean,0.0
co_mean,0.0
aqi_mean,0.0
temp_mean,0.0
humidity_mean,0.0
wind_mean,0.0
pressure_mean,0.0
traffic_index_mean,0.0
vehicle_count_sum,0.0
congestion_mean,0.0
hospital_admissions,0.0
population_est,0.0
population,0.0
area_km2,0.0
next_day_respiratory_admissions,0.0
pm25,0.0
pm10,0.0
no2,0.0
o3,0.0
co,0.0
risk_category_Medium,0.0
